city,county,state
ABBOT,PISCATAQUIS,Maine
ACTON,YORK,Maine
ADDISON,WASHINGTON,Maine
ALBION,KENNEBEC,Maine
ALNA,LINCOLN,Maine
AMHERST,HANCOCK,Maine
ANDOVER,OXFORD,Maine
ANSON,SOMERSET,Maine
ASHLAND,AROOSTOOK,Maine
ATHENS,SOMERSET,Maine
AUBURN,ANDROSCOGGIN,Maine
AUGUSTA,KENNEBEC,Maine
AUGUSTA,KENNEBEC,maine
AURORA,HANCOCK,Maine
AVON,FRANKLIN,Maine
BAILEYVILLE,WASHINGTON,Maine
BANGOR,PENOBSCOT,Maine
BAR HARBOR,HANCOCK,Maine
BASS HARBOR,HANCOCK,Maine
BATH,SAGADAHOC,Maine
BEAR ISLAND,KNOX,Maine
BEDDINGTON,WASHINGTON,Maine
BELFAST,WALDO,Maine
BELFAST,WALDO,maine
BELGRADE,KENNEBEC,Maine
BENTON,KENNEBEC,Maine
BETHEL,OXFORD,Maine
BIDDEFORD,YORK,Maine
BINGHAM,SOMERSET,Maine
BLUE HILL,HANCOCK,Maine
BOOTHBAY,LINCOLN,Maine
BOOTHBAY HARBOR,LINCOLN,Maine
BOWDOIN,SAGADAHOC,Maine
BOWDOINHAM,SAGADAHOC,Maine
BOWERBANK,PISCATAQUIS,Maine
BRADFORD,PENOBSCOT,Maine
BRIDGTON,CUMBERLAND,Maine
BRIGHTON PLANTATION,SOMERSET,Maine
BRISTOL,LINCOLN,New Hampshire
BRISTOL,LINCOLN,Maine
BROOKLIN,HANCOCK,Maine
BROOKS,WALDO,Maine
BROOKSVILLE,HANCOCK,Maine
BROOKTON,WASHINGTON,Maine
BROWNFIELD,OXFORD,Maine
BROWNVILLE,PISCATAQUIS,Maine
BRUNSWICK,CUMBERLAND,Maine
BRYANT POND,OXFORD,Maine
BUCKFIELD,OXFORD,Maine
BUCKSPORT,HANCOCK,Maine
BURLINGTON,PENOBSCOT,Maine
BUSTINS ISLAND,CUMBERLAND,Maine
BUXTON,YORK,Maine
CALAIS,WASHINGTON,Maine
CAMBRIDGE,SOMERSET,Maine
CANAAN,SOMERSET,Maine
CANTON,OXFORD,Maine
CARATUNK,SOMERSET,Maine
CARIBOU,AROOSTOOK,Maine
CARMEL,PENOBSCOT,Maine
CARRABASSETT,FRANKLIN,Maine
CARY PLANTATION,AROOSTOOK,Maine
CASCO,CUMBERLAND,Maine
CASTINE,HANCOCK,Maine
CHARLESTON,PENOBSCOT,Maine
CHARLOTTE,WASHINGTON,Maine
CHEBEAGUE ISLAND,CUMBERLAND,Maine
CHERRYFIELD,WASHINGTON,Maine
CHESUNCOOK,PISCATAQUIS,Maine
CLAYTON LAKE,AROOSTOOK,Maine
CLINTON,KENNEBEC,Maine
COLUMBIA FALLS,WASHINGTON,Maine
COOS,OXFORD,Maine
CORINNA,PENOBSCOT,Maine
CORINTH,PENOBSCOT,Maine
CORNISH,YORK,Maine
CRANBERRY ISLES,HANCOCK,Maine
CUSHING,KNOX,Maine
CUTLER,WASHINGTON,Maine
DAMARISCOTTA,LINCOLN,Maine
DANFORTH,WASHINGTON,Maine
DEDHAM,HANCOCK,Maine
DEER ISLE,HANCOCK,Maine
DETROIT,SOMERSET,Maine
DEXTER,PENOBSCOT,Maine
DIXFIELD,OXFORD,Maine
DIXMONT,PENOBSCOT,Maine
DOVER FOXCROFT,PISCATAQUIS,Maine
DOVER FOXCROFT,PISCATAQUIS,maine
DOVER-FOXCROFT,PISCATAQUIS,Maine
DRESDEN,LINCOLN,Maine
DURHAM,ANDROSCOGGIN,Maine
EAST ANDOVER,OXFORD,Maine
EAST HANCOCK COUNTY,HANCOCK,Maine
EAST LEBANON,ANDROSCOGGIN,Maine
EAST LIVERMORE,ANDROSCOGGIN,Maine
EAST MACHIAS,WASHINGTON,Maine
EAST MILLINOCKET,PENOBSCOT,Maine
EAST WATERBORO,YORK,Maine
EASTBROOK,HANCOCK,Maine
EASTPORT,WASHINGTON,Maine
EDDINGTON,PENOBSCOT,Maine
EDGECOMB,LINCOLN,Maine
ELLSWORTH,HANCOCK,Maine
ELLSWORTH,HANCOCK,maine
ETNA,PENOBSCOT,Maine
EUSTIS,FRANKLIN,Maine
EXETER,PENOBSCOT,Maine
FAIRFIELD,SOMERSET,Maine
FARMINGTON,FRANKLIN,Maine
FORT KENT,AROOSTOOK,Maine
FRANKLIN,HANCOCK,Maine
FREEDOM,WALDO,Maine
FREEPORT,CUMBERLAND,Maine
FRENCHBORO,HANCOCK,Maine
FRENCHVILLE,AROOSTOOK,Maine
FRENCHVILLE,AROOSTOOK,maine
FRIENDSHIP,KNOX,Maine
FRYEBURG,OXFORD,Maine
GARDINER,KENNEBEC,Maine
GARLAND,PENOBSCOT,Maine
GORHAM,CUMBERLAND,Maine
GOULDSBORO,HANCOCK,Maine
GRAND LAKE STREAM,WASHINGTON,Maine
GRAY,CUMBERLAND,Maine
GREENBUSH,PENOBSCOT,Maine
GREENE,ANDROSCOGGIN,Maine
GREENVILLE,PISCATAQUIS,Maine
GREENVILLE JUNCTION,PISCATAQUIS,Maine
GREENWOOD,OXFORD,Maine
GUILFORD,PISCATAQUIS,Maine
HAMPDEN,PENOBSCOT,Maine
HANCOCK,HANCOCK,Maine
HANOVER,OXFORD,Maine
HARBORSIDE,HANCOCK,Maine
HARMONY,SOMERSET,Maine
HARPSWELL,CUMBERLAND,Maine
HARRINGTON,WASHINGTON,Maine
HARRISON,CUMBERLAND,Maine
HARTLAND,SOMERSET,Maine
HEBRON,OXFORD,Maine
HIRAM,OXFORD,Maine
HOLLIS,YORK,Maine
HOPE,KNOX,Maine
HOULTON,AROOSTOOK,Maine
HOWLAND,PENOBSCOT,Maine
HUDSON,PENOBSCOT,Maine
ISLE AU HAUT,KNOX,Maine
ISLESBORO,WALDO,Maine
ISLESFORD,HANCOCK,Maine
JACKMAN,SOMERSET,Maine
JAY,FRANKLIN,Maine
JEFFERSON,LINCOLN,Maine
JONESPORT,WASHINGTON,Maine
KENDUSKEAG,PENOBSCOT,Maine
KENTS HILL,KENNEBEC,Maine
KINGFIELD,FRANKLIN,Maine
LAGRANGE,PENOBSCOT,Maine
LEBANON,YORK,Maine
LEE,PENOBSCOT,Maine
LEEDS,ANDROSCOGGIN,Maine
LEVANT,PENOBSCOT,Maine
LEWISTON,ANDROSCOGGIN,Maine
LIBERTY,WALDO,Maine
LIMERICK,YORK,Maine
LIMINGTON,YORK,Maine
LINCOLN,PENOBSCOT,Maine
LINCOLNVILLE,WALDO,Maine
LISBON,ANDROSCOGGIN,Maine
LISBON FALLS,ANDROSCOGGIN,Maine
LITCHFIELD,KENNEBEC,Maine
LIVERMORE,ANDROSCOGGIN,Maine
LIVERMORE FALLS,ANDROSCOGGIN,Maine
LOVELL,OXFORD,Maine
LOWELL,PENOBSCOT,Maine
LUBEC,WASHINGTON,Maine
MACHIAS,WASHINGTON,Maine
MADISON,SOMERSET,Maine
MANCHESTER,KENNEBEC,Maine
MARIAVILLE,HANCOCK,Maine
MATINICUS,KNOX,Maine
MATTAWAMKEAG,PENOBSCOT,Maine
MECHANIC FALLS,ANDROSCOGGIN,Maine
MEDWAY,PENOBSCOT,Maine
MILBRIDGE,WASHINGTON,Maine
MILFORD,PENOBSCOT,Maine
MILLINOCKET,PENOBSCOT,Maine
MILO,PISCATAQUIS,Maine
MINOT,ANDROSCOGGIN,Maine
MONHEGAN,LINCOLN,Maine
MONMOUTH,KENNEBEC,Maine
MONSON,PISCATAQUIS,Maine
MORRILL,WALDO,Maine
MOUNT DESERT,HANCOCK,Maine
MOUNT VERNON,KENNEBEC,Maine
NAPLES,CUMBERLAND,Maine
NEW DURHAM,ANDROSCOGGIN,Maine
NEW GLOUCESTER,CUMBERLAND,Maine
NEW HARBOR,LINCOLN,Maine
NEW PORTLAND,SOMERSET,Maine
NEW SHARON,FRANKLIN,Maine
NEW VINEYARD,FRANKLIN,Maine
NEWBURGH,PENOBSCOT,Maine
NEWPORT,PENOBSCOT,Maine
NEWRY,OXFORD,Maine
NORRIDGEWOCK,SOMERSET,Maine
NORTH ANSON,SOMERSET,Maine
NORTH BERWICK,YORK,Maine
NORTH EAST CARRY,PISCATAQUIS,Maine
NORTH HAVEN,KNOX,Maine
NORTH MONMOUTH,KENNEBEC,Maine
NORTH NEW PORTLAND,SOMERSET,Maine
NORTH PENOBSCOT COUNTY,PENOBSCOT,Maine
NORTH SOMERSET COUNTY,SOMERSET,Maine
NORTH VASSALBORO,KENNEBEC,Maine
NORTH WATERFORD,OXFORD,Maine
NORTH WOODSTOCK,OXFORD,Maine
NORTH YARMOUTH,CUMBERLAND,Maine
NORTHEAST HARBOR,HANCOCK,Maine
NORTHERN PISCATAQUIS CTY,PISCATAQUIS,Maine
NORTHERN WASHINGTON CO,WASHINGTON,Maine
NORTHFIELD,WASHINGTON,Maine
NORTHWEST AROOSTOOK,AROOSTOOK,Maine
NORWAY,OXFORD,Maine
OAKLAND,KENNEBEC,Maine
OGUNQUIT,YORK,Maine
OLD TOWN,PENOBSCOT,Maine
ORLAND,HANCOCK,Maine
ORONO,PENOBSCOT,Maine
OSBORN,HANCOCK,Maine
OTIS,HANCOCK,Maine
OTISFIELD,OXFORD,Maine
OWLS HEAD,KNOX,Maine
OXFORD,OXFORD,Maine
PALERMO,WALDO,Maine
PALMYRA,SOMERSET,Maine
PARSONSFIELD,YORK,Maine
PASSADUMKEAG,PENOBSCOT,Maine
PATTEN,PENOBSCOT,Maine
PEMBROKE,WASHINGTON,Maine
PENOBSCOT,HANCOCK,Maine
PERU,OXFORD,Maine
PHILLIPS,FRANKLIN,Maine
PITTSFIELD,SOMERSET,Maine
PLYMOUTH,PENOBSCOT,Maine
POLAND,ANDROSCOGGIN,Maine
PORTER,OXFORD,Maine
PORTLAND,CUMBERLAND,Maine
POWNAL,CUMBERLAND,Maine
PRESQUE ISLE,AROOSTOOK,Maine
PRINCETON,WASHINGTON,Maine
PROSPECT,WALDO,Maine
PROSPECT HARBOR,HANCOCK,Maine
RANDOLPH,KENNEBEC,Maine
RANGELEY,FRANKLIN,Maine
READFIELD,KENNEBEC,Maine
RICHMOND,SAGADAHOC,Maine
RIPLEY,SOMERSET,Maine
ROCKLAND,KNOX,Maine
ROCKPORT,KNOX,Maine
ROCKWOOD,SOMERSET,Maine
ROME,KENNEBEC,Maine
ROXBURY,OXFORD,Maine
RUMFORD,OXFORD,Maine
SABATTUS,ANDROSCOGGIN,Maine
SAINT ALBANS,SOMERSET,Maine
SANFORD,YORK,Maine
SANGERVILLE,PISCATAQUIS,Maine
SEARSMONT,WALDO,Maine
SEARSPORT,WALDO,Maine
SEBAGO,CUMBERLAND,Maine
SEDGWICK,HANCOCK,Maine
SHAPLEIGH,YORK,Maine
SHERMAN,AROOSTOOK,Maine
SIDNEY,KENNEBEC,Maine
SKOWHEGAN,SOMERSET,Maine
SMITHFIELD,SOMERSET,Maine
SOLON,SOMERSET,Maine
SOMERVILLE,LINCOLN,Maine
SOUTH BERWICK,YORK,Maine
SOUTH CHINA,KENNEBEC,Maine
SOUTH PARIS,OXFORD,Maine
SOUTHWEST HARBOR,HANCOCK,Maine
SPRINGFIELD,PENOBSCOT,Maine
ST GEORGE,KNOX,Maine
STANDISH,CUMBERLAND,Maine
STEEP FALLS,CUMBERLAND,Maine
STETSON TWP,FRANKLIN,Maine
STEUBEN,WASHINGTON,Maine
STONEHAM,OXFORD,Maine
STONINGTON,HANCOCK,Maine
STRONG,FRANKLIN,Maine
SULLIVAN,HANCOCK,Maine
SUMNER,OXFORD,Maine
SUTTON ISLAND,HANCOCK,Maine
SWANS ISLAND,HANCOCK,Maine
T4 R13,PISCATAQUIS,Maine
TENANTS HARBOR,KNOX,Maine
THOMASTON,KNOX,Maine
THORNDIKE,WALDO,Maine
TOPSFIELD,WASHINGTON,Maine
TOPSHAM,SAGADAHOC,Maine
TRENTON,HANCOCK,Maine
TROY,WALDO,Maine
TURNER,ANDROSCOGGIN,Maine
TWP 35,HANCOCK,Maine
TWPS D-E-6-FRANKLIN CNTY,FRANKLIN,Maine
TWPS FRANKLIN COUNTY,FRANKLIN,Maine
UNION,KNOX,Maine
UNITY,WALDO,Maine
UPTON,OXFORD,Maine
VANCEBORO,WASHINGTON,Maine
VASSALBORO,KENNEBEC,Maine
VIENNA,KENNEBEC,Maine
VINALHAVEN,KNOX,maine
VINALHAVEN,KNOX,Maine
WALDOBORO,LINCOLN,Maine
WARREN,KNOX,Maine
WASHINGTON,KNOX,Maine
WATERBORO,YORK,Maine
WATERVILLE,KENNEBEC,Maine
WAYNE,KENNEBEC,Maine
WELD,FRANKLIN,Maine
WELLS,YORK,Maine
WELLS TWNSHP,YORK,Maine
WESLEY,WASHINGTON,Maine
WEST BALDWIN,CUMBERLAND,Maine
WEST ENFIELD,PENOBSCOT,Maine
WEST FORKS,SOMERSET,Maine
WEST GARDINER,KENNEBEC,Maine
WEST NEWFIELD,YORK,Maine
WEST PARIS,OXFORD,Maine
WHITEFIELD,LINCOLN,Maine
WHITING,WASHINGTON,Maine
WILLIMANTIC,PISCATAQUIS,Maine
WILTON,FRANKLIN,Maine
WINDHAM,CUMBERLAND,Maine
WINDSOR,KENNEBEC,Maine
WINN,PENOBSCOT,Maine
WINSLOW,KENNEBEC,Maine
WINTER HARBOR,HANCOCK,Maine
WINTERPORT,WALDO,Maine
WINTHROP,KENNEBEC,Maine
WISCASSET,LINCOLN,Maine
WOODSTOCK,OXFORD,Maine
WOOLWICH,SAGADAHOC,Maine
YARMOUTH,CUMBERLAND,Maine
YORK,YORK,Maine
